#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
melodious_voice_1_desc;This character has a very resonant voice.;Ce personnage a une voix tres resonnante;;;;;;;;;;;;x
melodious_voice_2;Melodious Voice;Voix melodieuse;;;;;;;;;;;;x
melodious_voice_2_desc;This character has a very melodious voice.;Ce personnage a une voix tres melodieuse;;;;;;;;;;;;x
mute;Mute;Muet;;;;;;;;;;;;x
mute_desc;This character was unfortunate enough to be born with the inability to speak even the simplest of noises. Such a disability limits their ability to function.;Ce personnage etait assez malheureux pour naitre avec l'incapacite de parler meme le plus simple des bruits. Une telle incapacite limite leur capacite a fonctionner.;;;;;;;;;;;;x
powerful_voice;Robust Voice;Voix robuste;;;;;;;;;;;;x
powerful_voice_desc;This character has a very robust voice.;Ce personnage a une voix tres robuste;;;;;;;;;;;;x
powerful_voice_1;Powerful Voice;Voix puissante;;;;;;;;;;;;x
powerful_voice_1_desc;This character has a very powerful voice.;Ce personnage a une voix tres puissante;;;;;;;;;;;;x
powerful_voice_2;Dominant Voice;Voix dominante;;;;;;;;;;;;x
powerful_voice_2_desc;This character has a very dominant voice.;Ce personnage a une voix tres dominante;;;;;;;;;;;;x
quick;Astute;Astucieux;;;;;;;;;;;;x
quick_desc;This character is very astute in their thoughts.;Ce personnage est tres astucieux dans ses pensees;;;;;;;;;;;;x
quick_1;Perceptive;Perspicace;;;;;;;;;;;;x
quick_1_desc;This character is very perceptive in their thoughts.;Ce personnage est tres perspicace;;;;;;;;;;;;x
quick_2;Quick;Vif;;;;;;;;;;;;x
quick_2_desc;This character is capable of lightning fast thoughts.;Ce personnage est capable de pensees rapides comme l'eclair;;;;;;;;;;;;x
slow;Foolish;Insense;;;;;;;;;;;;x
slow_desc;This character has trouble thinking.;Ce personnage a du mal a penser.;;;;;;;;;;;;x
slow_1;Slow;Lent;;;;;;;;;;;;x
slow_1_desc;This character is slow when it comes to thinking.;Ce personnage est lent quand il s'agit de penser;;;;;;;;;;;;x
slow_2;Ignorant;Ignorant;;;;;;;;;;;;x
slow_2_desc;This character takes forever to think of things.;Ce personnage prend une eternite a penser aux choses;;;;;;;;;;;;x
strong;Capable;Capable;;;;;;;;;;;;x
strong_desc;This character is blessed with a capable physique;Ce personnage est beni avec un physique capable;;;;;;;;;;;;x
strong_1;Solid;Solide;;;;;;;;;;;;x
strong_1_desc;This character is blessed with a solid physique;Ce personnage est beni avec un physique solide;;;;;;;;;;;;x
strong_2;Strong;Fort;;;;;;;;;;;;x
strong_2_desc;This character is blessed with a strong physique.;Ce personnage est beni avec un physique solide;;;;;;;;;;;;x
stutter;Falter;Hesitant;;;;;;;;;;;;x
stutter_desc;This character has a falter to their speech.Ce personnage est hesitation a son discours;;;;;;;;;;;;;x
stutter_1;Stammer;Balbucie;;;;;;;;;;;;x
stutter_1_desc;This character has a stammer to their speech.;Ce personnage balbucie quand il parle;;;;;;;;;;;;x
stutter_2;Stutter;Begaiement;;;;;;;;;;;;x
stutter_2_desc;This character has a stutter to their speech.;Ce personnage begaie;;;;;;;;;;;;x
tall;Tall;Grand;;;;;;;;;;;;x
tall_desc;This character has a tall stature.;Ce personnage est tres grand;;;;;;;;;;;;x
tall_1;Huge;Immense;;;;;;;;;;;;x
tall_1_desc;This character has a Huge and impressive stature;Ce personnage a une taille et stature immense;;;;;;;;;;;;x
tall_2;Giant;Geant;;;;;;;;;;;;x
tall_2_desc;This character has a gigantic stature, almost as if they have Giants blood in their heritage.;Ce personnage a une stature gigantesque, presque comme s'il avait du sang des geants dans son heritage.;;;;;;;;;;;;x
ugly;Homely;Ingrat;;;;;;;;;;;;x
ugly_desc;This character has a face that only a mother could love...;Ce personnage a un physique ingrat, seule sa mere pourra l'aimer;;;;;;;;;;;;x
ugly_1;Unsightly;Disgracieux;;;;;;;;;;;;x
ugly_1_desc;This character has a face that brings a tear to the eye...;Ce personnage a un visage qui apporte une larme a l'oeil .;;;;;;;;;;;;x
ugly_2;Ugly;Laid;;;;;;;;;;;;x
ugly_2_desc;This character has a face that even a mother couldn't love...;Ce personnage a un visage que meme une mere ne pouvait pas aimer..;;;;;;;;;;;;x
weak;Frail;Frele;;;;;;;;;;;;x
weak_desc;This character has a frail disposition;Ce personnage est frele;;;;;;;;;;;;x
weak_1;Delicate;Delicat;;;;;;;;;;;;x
weak_1_desc;This character has a delicate disposition.;Ce personnage a un physique delicat;;;;;;;;;;;;x
weak_1_death; due to their delicate nature;en raison de sa nature delicate;;;;;;;;;;;;x
weak_2;Weak;Faible;;;;;;;;;;;;x
weak_2_desc;This character has a weak disposition;Ce personnage a un faible physique;;;;;;;;;;;;x
weak_2_death; weak and sickly;Faible et malade;;;;;;;;;;;;x
wrymouth;Wrymouth;Menton etrange;;;;;;;;;;;;x
wrymouth_desc;This character was born with an oddly-shaped chin or jaw – perhaps it is too big, or too small. Hopefully, this facial feature won’t spread with interbreeding.;Ce personnage est ne avec un menton ou une machoire de forme etrange - peut-être trop gros ou trop petit. Esperons que cette caracteristique faciale ne se propagera pas avec des croisements;x;;x;;;;;;;;;x
wrymouth_death: due to their unfortunate facial disfigurement;en raison de leur defiguration faciale malheureux;;;;;;;;;;;;x
eyeleft;Eye Injury;Blessure a l'œil;;;;;;;;;;;;x
eyeleft_desc;This character has suffered an injury to an eye and lost the use of it.;Ce personnage a subi une blessure a un oeil et a perdu l'usage de celui-ci;;;;;;;;;;;;x
eyeleft_death; due to complications from their eye injury;en raison de complications suite aux blessures aux yeux;;;;;;;;;;;;x
eyeright;Eye Injury;Blessure a l'œil;;;;;;;;;;;;x
eyeright_desc;This character has suffered an injury to an eye and lost the use of it.;Ce personnage a subi une blessure a un oeil et a perdu l'usage de celui-ci;;;;;;;;;;;;x
eyeright_death; due to complications from their eye injury;en raison de complications suite aux blessures aux yeux;;;;;;;;;;;;x
webbed_hands;Dactyl Webbing;Handicape;;;;;;;;;;;;x
webbed_hands_desc;This character was unfortunate to be born with webbing between their fingers or toes.;Ce personnage a eu la malchance d'etre ne avec des sangles entre les doigts ou les orteils;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
TOOLTIPKGagile; as well as being more agile than other men.;tout en etant plus agile que les autres hommes;;;;;;;;;;;;x;
TOOLTIPKGlazy; as well as being rather more lazy than other men.;ainsi que d'etre plutot paresseux que les autres hommes;;;;;;;;;;;;x;
heterochromia;Heterochromia;Heterochromie;;;;;;;;;;;;x
heterochromia_desc;This character was either blessed or cursed when they were born. Both of their eyes are different colors.;Ce personnage etait beni ou maudit quand il est ne. ses deux yeux sont de couleurs differentes;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
